[ 2023-07-17 16:50:24,394 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 16:53:35,593 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 16:53:39,693 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 16:53:39,696 ] Disconnected from gameserver
[ 2023-07-17 16:53:40,839 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 16:53:40,840 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 16:53:41,799 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 16:53:44,943 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 16:53:45,943 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 16:53:50,043 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 16:53:50,046 ] Disconnected from gameserver
[ 2023-07-17 16:53:51,193 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 16:53:51,244 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 16:53:52,156 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 16:53:55,343 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 16:53:56,344 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 16:53:56,853 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 16:57:37,594 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "The remote host closed the connection" )
[ 2023-07-17 16:57:37,665 ] Disconnected from gameserver
[ 2023-07-17 16:57:41,185 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 16:57:41,572 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 16:57:41,574 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 16:57:42,533 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 16:57:45,644 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 16:57:46,644 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 16:57:50,694 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 16:57:50,698 ] Disconnected from gameserver
[ 2023-07-17 16:57:51,841 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 16:57:51,842 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 16:57:52,799 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 16:57:55,943 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 16:57:56,943 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 16:58:01,044 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 16:58:01,047 ] Disconnected from gameserver
[ 2023-07-17 16:58:02,203 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 16:58:02,243 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 16:58:03,158 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 16:58:06,393 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 16:58:07,394 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 16:58:07,404 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:01:01,544 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "The remote host closed the connection" )
[ 2023-07-17 17:01:01,614 ] Disconnected from gameserver
[ 2023-07-17 17:01:05,547 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 17:01:06,141 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 17:01:06,143 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:01:07,109 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 17:01:10,194 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 17:01:11,244 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:01:15,294 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 17:01:15,297 ] Disconnected from gameserver
[ 2023-07-17 17:01:16,446 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 17:01:16,494 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:01:17,406 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 17:01:20,593 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 17:01:21,593 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:01:25,643 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 17:01:25,646 ] Disconnected from gameserver
[ 2023-07-17 17:01:26,797 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 17:01:26,798 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:01:27,750 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 17:01:30,844 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 17:01:31,894 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:01:31,894 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:07:28,637 ] Using spritesheet cache size of 910
[ 2023-07-17 17:07:29,660 ] Asset loading complete
[ 2023-07-17 17:07:31,171 ] All sound assets loaded
[ 2023-07-17 17:07:33,621 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 17:07:35,386 ] BattlEye: "Initialized (v1.246)"
[ 2023-07-17 17:07:35,386 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-07-17 17:07:35,387 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-07-17 17:07:35,437 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 17:07:35,442 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:07:36,405 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 17:07:39,513 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 17:07:40,513 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:07:44,613 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 17:07:44,617 ] Disconnected from gameserver
[ 2023-07-17 17:07:45,855 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 17:07:45,857 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:07:46,827 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 17:07:49,913 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 17:07:50,912 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:07:54,435 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:10:29,307 ] Using spritesheet cache size of 910
[ 2023-07-17 17:10:30,135 ] Asset loading complete
[ 2023-07-17 17:10:31,842 ] All sound assets loaded
[ 2023-07-17 17:10:34,123 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 17:10:35,742 ] BattlEye: "Initialized (v1.246)"
[ 2023-07-17 17:10:35,742 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-07-17 17:10:35,742 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-07-17 17:10:35,794 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 17:10:35,800 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:10:36,750 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 17:10:39,845 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 17:10:40,845 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:10:44,946 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 17:10:44,951 ] Disconnected from gameserver
[ 2023-07-17 17:10:46,183 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 17:10:46,184 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:10:47,141 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 17:10:50,295 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 17:10:51,296 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:10:54,320 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:11:33,354 ] Using spritesheet cache size of 910
[ 2023-07-17 17:11:33,839 ] Asset loading complete
[ 2023-07-17 17:11:35,552 ] All sound assets loaded
[ 2023-07-17 17:11:37,432 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 17:11:38,554 ] BattlEye: "Initialized (v1.246)"
[ 2023-07-17 17:11:38,554 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-07-17 17:11:38,554 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-07-17 17:11:38,606 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 17:11:38,612 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:11:39,564 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 17:11:42,681 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 17:11:43,681 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:11:47,782 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 17:11:47,787 ] Disconnected from gameserver
[ 2023-07-17 17:11:49,028 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 17:11:49,029 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:11:49,983 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 17:11:53,131 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 17:11:54,131 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:11:58,232 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 17:11:58,236 ] Disconnected from gameserver
[ 2023-07-17 17:11:59,380 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 17:11:59,380 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:11:59,890 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:12:00,342 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 17:14:20,781 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "The remote host closed the connection" )
[ 2023-07-17 17:14:20,853 ] Disconnected from gameserver
[ 2023-07-17 17:14:22,770 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 17:14:23,163 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 17:14:23,165 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:14:24,108 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 17:14:27,232 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 17:14:28,232 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:14:32,332 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 17:14:32,336 ] Disconnected from gameserver
[ 2023-07-17 17:14:33,482 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 17:14:33,483 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:14:34,440 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 17:14:37,581 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 17:14:38,582 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:14:42,681 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 17:14:42,685 ] Disconnected from gameserver
[ 2023-07-17 17:14:43,823 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 17:14:43,824 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:14:44,780 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 17:14:47,882 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 17:14:48,881 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:14:51,437 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:17:08,810 ] Using spritesheet cache size of 910
[ 2023-07-17 17:17:09,691 ] Asset loading complete
[ 2023-07-17 17:17:11,562 ] All sound assets loaded
[ 2023-07-17 17:19:24,925 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 17:19:25,931 ] BattlEye: "Initialized (v1.246)"
[ 2023-07-17 17:19:25,931 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2023-07-17 17:19:25,931 ] BattlEye: "Restarting client is necessary, update required"
[ 2023-07-17 17:19:25,982 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 17:19:25,988 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:19:25,998 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:19:26,938 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 17:19:34,543 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "The remote host closed the connection" )
[ 2023-07-17 17:19:34,613 ] Disconnected from gameserver
[ 2023-07-17 17:19:35,866 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 17:19:36,486 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 17:19:36,487 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:19:36,498 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:19:36,643 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "The remote host closed the connection" )
[ 2023-07-17 17:19:36,649 ] Disconnected from gameserver
[ 2023-07-17 17:19:37,454 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 17:19:38,113 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 17:19:38,438 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 17:19:38,439 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:19:38,449 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 17:19:39,405 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 18:03:52,693 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "The remote host closed the connection" )
[ 2023-07-17 18:03:52,779 ] Disconnected from gameserver
[ 2023-07-17 18:07:31,505 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 18:07:31,668 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 18:07:31,670 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 18:07:31,681 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 18:07:32,623 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 18:18:09,893 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "The remote host closed the connection" )
[ 2023-07-17 18:18:09,971 ] Disconnected from gameserver
[ 2023-07-17 18:18:13,043 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 18:18:13,464 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 18:18:13,493 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 18:18:14,423 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 18:18:17,543 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 18:18:18,543 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 18:18:22,593 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 18:18:22,597 ] Disconnected from gameserver
[ 2023-07-17 18:18:23,815 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 18:18:23,816 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 18:18:24,749 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 18:18:27,944 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 18:18:28,993 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 18:18:33,093 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "Connection refused" )
[ 2023-07-17 18:18:33,096 ] Disconnected from gameserver
[ 2023-07-17 18:18:34,259 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 18:18:34,293 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 18:18:35,219 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 18:18:35,815 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
[ 2023-07-17 18:32:00,894 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"  was disconnected ( "The remote host closed the connection" )
[ 2023-07-17 18:32:00,961 ] Disconnected from gameserver
[ 2023-07-17 18:32:06,916 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2023-07-17 18:32:07,704 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "GOD" )
[ 2023-07-17 18:32:07,743 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Hellgrave"
